mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__gamma,param_model__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.043767452239990234,0.0020194725827106,0.007764101028442383,0.0008337315332950413,1.0,0.1,rbf,"{'model__C': 1, 'model__gamma': 0.1, 'model__kernel': 'rbf'}",0.7592592592592593,0.7777777777777778,0.7663551401869159,0.7570093457943925,0.719626168224299,0.756005538248529,0.0195765041198202,21
0.04374847412109375,0.001255319791026268,0.014351511001586914,0.01157282784056419,0.1,0.1,rbf,"{'model__C': 0.1, 'model__gamma': 0.1, 'model__kernel': 'rbf'}",0.7962962962962963,0.75,0.719626168224299,0.7383177570093458,0.719626168224299,0.7447732779508479,0.028243116147581352,22
0.044936084747314455,0.001974405376541705,0.007993841171264648,0.0011695911992289543,0.1,scale,rbf,"{'model__C': 0.1, 'model__gamma': 'scale', 'model__kernel': 'rbf'}",0.7777777777777778,0.7222222222222222,0.7009345794392523,0.7476635514018691,0.7383177570093458,0.7373831775700934,0.025677375736440376,23
0.0517305850982666,0.0013298824414610345,0.0067097187042236325,0.0008384995557424097,10.0,0.1,rbf,"{'model__C': 10, 'model__gamma': 0.1, 'model__kernel': 'rbf'}",0.6944444444444444,0.7314814814814815,0.7102803738317757,0.7663551401869159,0.7009345794392523,0.720699203876774,0.026035463591851195,24
0.06531882286071777,0.00935797594994223,0.008231735229492188,0.0024583388854684174,10.0,scale,rbf,"{'model__C': 10, 'model__gamma': 'scale', 'model__kernel': 'rbf'}",0.6944444444444444,0.7037037037037037,0.7102803738317757,0.7476635514018691,0.7102803738317757,0.7132744894427138,0.018147768861834446,25
0.07268013954162597,0.005762796683065987,0.005760622024536133,0.0008810382296790314,50.0,0.1,rbf,"{'model__C': 50, 'model__gamma': 0.1, 'model__kernel': 'rbf'}",0.6944444444444444,0.6759259259259259,0.7570093457943925,0.6728971962616822,0.7009345794392523,0.7002422983731394,0.030317099513830156,26
0.07791676521301269,0.010177736022222652,0.014118242263793945,0.003906601222041951,1.0,1,rbf,"{'model__C': 1, 'model__gamma': 1, 'model__kernel': 'rbf'}",0.7037037037037037,0.6666666666666666,0.6822429906542056,0.719626168224299,0.6635514018691588,0.6871581862236067,0.0215836317271992,27
0.06359047889709472,0.008951840725596776,0.008163166046142579,0.0012064067026058862,10.0,1,rbf,"{'model__C': 10, 'model__gamma': 1, 'model__kernel': 'rbf'}",0.7037037037037037,0.6481481481481481,0.6915887850467289,0.6728971962616822,0.6822429906542056,0.6797161647628938,0.01879246652430374,28
0.0462954044342041,0.013290351607763718,0.005711889266967774,0.0014665122389540786,50.0,1,rbf,"{'model__C': 50, 'model__gamma': 1, 'model__kernel': 'rbf'}",0.7037037037037037,0.6481481481481481,0.6915887850467289,0.6728971962616822,0.6822429906542056,0.6797161647628938,0.01879246652430374,28
0.06428203582763672,0.018219468441656794,0.006963253021240234,0.0038115663107181745,50.0,scale,rbf,"{'model__C': 50, 'model__gamma': 'scale', 'model__kernel': 'rbf'}",0.6481481481481481,0.6574074074074074,0.7289719626168224,0.6728971962616822,0.6542056074766355,0.6723260643821392,0.029477357060122385,30
0.04359803199768066,0.0016002660542192748,0.008925533294677735,0.0017430458951561314,0.1,0.01,rbf,"{'model__C': 0.1, 'model__gamma': 0.01, 'model__kernel': 'rbf'}",0.6481481481481481,0.6481481481481481,0.6542056074766355,0.6542056074766355,0.6542056074766355,0.6517826237452404,0.002967536898491202,31
