mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__metric,param_model__n_neighbors,param_model__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.01021113395690918,0.000824571758469168,0.011724376678466797,0.008191242036223944,manhattan,15,uniform,"{'model__metric': 'manhattan', 'model__n_neighbors': 15, 'model__weights': 'uniform'}",0.7222222222222222,0.7314814814814815,0.7663551401869159,0.794392523364486,0.7009345794392523,0.7430771893388716,0.0332280488898951,17
0.006815958023071289,0.0012406676593283723,0.005967283248901367,0.0009782825419893402,euclidean,3,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 3, 'model__weights': 'uniform'}",0.7129629629629629,0.7407407407407407,0.7570093457943925,0.7570093457943925,0.7476635514018691,0.7430771893388716,0.016257738503533084,17
0.009940814971923829,0.0024502234172606645,0.007103729248046875,0.0009743664214938958,euclidean,15,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 15, 'model__weights': 'distance'}",0.6944444444444444,0.7129629629629629,0.794392523364486,0.7850467289719626,0.719626168224299,0.741294565593631,0.04049883436246166,19
0.008417272567749023,0.0018804157135250599,0.005956220626831055,0.0012999473476063281,euclidean,19,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 19, 'model__weights': 'distance'}",0.7129629629629629,0.7407407407407407,0.794392523364486,0.7476635514018691,0.7102803738317757,0.7412080304603669,0.030413109601767074,20
0.00916900634765625,0.001597349547395315,0.007020235061645508,0.00036610114915551983,manhattan,19,uniform,"{'model__metric': 'manhattan', 'model__n_neighbors': 19, 'model__weights': 'uniform'}",0.7407407407407407,0.7407407407407407,0.7663551401869159,0.7663551401869159,0.6915887850467289,0.7411561093804083,0.02730291929808399,21
0.008664560317993165,0.001840952725355245,0.007294178009033203,0.0009560332211697875,manhattan,11,uniform,"{'model__metric': 'manhattan', 'model__n_neighbors': 11, 'model__weights': 'uniform'}",0.7129629629629629,0.7222222222222222,0.7383177570093458,0.7663551401869159,0.7570093457943925,0.7393734856351678,0.020158518563209306,22
0.007901716232299804,0.001548816948473378,0.005876588821411133,0.000562148246238816,euclidean,3,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 3, 'model__weights': 'distance'}",0.7129629629629629,0.7407407407407407,0.7476635514018691,0.7570093457943925,0.7383177570093458,0.7393388715818623,0.014698587827289224,23
0.007964277267456054,0.0013480172513179356,0.006898689270019531,0.0006126820396010128,euclidean,7,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 7, 'model__weights': 'uniform'}",0.7222222222222222,0.7314814814814815,0.7383177570093458,0.7383177570093458,0.7570093457943925,0.7374697127033576,0.011415607725925673,24
0.012026071548461914,0.009426094747779262,0.007249355316162109,0.0010252461312089893,manhattan,9,uniform,"{'model__metric': 'manhattan', 'model__n_neighbors': 9, 'model__weights': 'uniform'}",0.6851851851851852,0.75,0.7383177570093458,0.7757009345794392,0.7289719626168224,0.7356351678781585,0.029693128517463124,25
0.010605621337890624,0.0024509936700398438,0.006479310989379883,0.0007312551378344709,manhattan,11,distance,"{'model__metric': 'manhattan', 'model__n_neighbors': 11, 'model__weights': 'distance'}",0.7222222222222222,0.7129629629629629,0.7383177570093458,0.7476635514018691,0.7476635514018691,0.7337660089996538,0.013950107649433862,26
0.008374643325805665,0.0014037775228653692,0.005322265625,0.0012586560009383828,manhattan,3,uniform,"{'model__metric': 'manhattan', 'model__n_neighbors': 3, 'model__weights': 'uniform'}",0.6944444444444444,0.75,0.7383177570093458,0.7476635514018691,0.7383177570093458,0.733748701973001,0.02022031112476663,27
